iter	Passed	Remaining
0	3	310
1	6	299
2	9	317
3	11	282
4	13	264
5	16	255
6	18	246
7	20	239
8	23	236
9	25	232
10	28	228
11	30	224
12	32	220
13	35	216
14	37	213
15	39	208
16	42	205
17	44	202
18	46	198
19	49	196
20	51	193
21	53	191
22	56	188
23	58	185
24	60	182
25	63	180
26	65	178
27	67	173
28	69	170
29	72	168
30	74	166
31	77	163
32	79	161
33	81	158
34	84	156
35	86	153
36	88	151
37	91	149
38	93	146
39	96	144
40	98	142
41	99	137
42	102	135
43	104	133
44	107	131
45	109	128
46	112	126
47	114	123
48	116	121
49	119	119
50	121	116
51	124	114
52	126	112
53	129	110
54	131	107
55	134	105
56	138	104
57	141	102
58	143	99
59	146	97
60	149	95
61	151	93
62	154	90
63	156	88
64	159	85
65	162	83
66	164	81
67	167	78
68	170	76
69	172	74
70	175	71
71	177	69
72	180	66
73	183	64
74	186	62
75	189	59
76	191	57
77	194	54
78	196	52
79	202	50
80	204	48
81	207	45
82	210	43
83	212	40
84	215	37
85	217	35
86	220	32
87	222	30
88	225	27
89	227	25
90	230	22
91	232	20
92	235	17
93	238	15
94	240	12
95	242	10
96	245	7
97	247	5
98	249	2
99	251	0
